,Tweet,tweet_eng,final,sentiment_score,sentiments,Compound_Score,Sentiments,Positive,Negative,Neutral,Compound
10,mau heran tapi ini lion air,I want to be surprised but this is Lion Air,heran lion air,0.1,Positive,0.1531,Positive,0.245,0.0,0.755,0.1531
11, nya lion air jam segini susah bener dihubungin dah,It's really hard to contact Lion Air at this time,lion air jam gin susah bener dihubungin dah,-0.2916666666666667,Negative,-0.1761,Negative,0.0,0.158,0.842,-0.1761
12,cara beli bagasi lion air ,How to Buy Lion Air Baggage,beli bagasi lion air,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
13, djsaviation lion air lni boeing from jakarta cgk palembang plm ,DjsAviation Lion Air LNI Boeing from Jakarta CGK Palembang PLM,djsaviation lion air lni boeing from jakarta cgk palembang plm,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
14, buyungbin adiinn aswantgardapati yakin rendang babi aja diprotes percaya diri dari mananya halu ketinggian cuk hati ada lion air ,BuYungBin adiinn AswantGardapati Confident Just pork rendang protested confidently where does it come from Halu heights cuk heart there is lion air,buyungbin adiinn aswantgardapati rendang babi aja protes percaya mana halu tinggi cuk hati lion air,0.5,Positive,0.875,Positive,0.35,0.05,0.6,0.875
15,makan pisang kipas turbin pesawat lion air,Eating bananas from Lion Air airplane turbine fans,makan pisang kipas turbin pesawat lion air,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
16,bang ahmadsahroni ada produk local mendunia produk ini sdh pake mercedezbenz freeport chevron huawawei lionair dah dapat lisensi dari inhan secufindo penemunya anak muda dari palembang ,"Bro, Ahmad Sahroni, there is a local product that is worldwide, this product is already used, Mercedezbenz Freeport, Chevron, Huawei Lionair, has received a license from Inhan Secufindo. The inventor is a young man from Palembang.",bang ahmadsahroni produk local dunia produk pake mercedezbenz freeport chevron huawawei lionair dah lisensi inhan secufindo temu anak muda palembang,0.05,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
17,bagi calon penumpang maskapai penerbangan garuda citilink dan lion air perlu perhatikan aturan baru berikut ,Prospective passengers on Garuda Citilink and Lion Air airlines need to pay attention to the following new rules,calon tumpang maskapai terbang garuda citilink lion air perhati atur,0.06818181818181818,Positive,-0.1027,Negative,0.0,0.076,0.924,-0.1027
18,lion air buka kembali penerbangan internasional non stop kualanamu penang cek syarat perjalanan via tribuntravel,Lion Air Reopens Non-Stop International Flights Kualanamu Penang Check Travel Conditions via TribunTravel,lion air buka terbang internasional non stop kualanamu nang cek syarat jalan via tribuntravel,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
19,lion air buka kembali penerbangan internasional non stop kualanamu penang cek syarat perjalanan ,Lion Air Reopens Non-Stop International Flights Kualanamu Penang Check Travel Conditions,lion air buka terbang internasional non stop kualanamu nang cek syarat jalan,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
20,selain sabu turut disita alat bong tespek hasil tes urine hasil rontgen serta ticket maskapai citilink dan lion air dan identitas diri berupa paspor dan fotocopy ktp taudarikepripedia ,"Apart from methamphetamine, bong test equipment was also confiscated, urine test results, X-ray results as well as tickets for Citilink and Lion Air airlines and personal identification in the form of passports and photocopies of KTP taudarikepripedia",sabu sita alat bong tespek hasil tes urine hasil rontgen ticket maskapai citilink lion air identitas paspor fotocopy ktp taudarikepripedia,0.0,Neutral,0.2732,Positive,0.055,0.0,0.945,0.2732
21,lion air segera terbang rute internasional kualanamu penang kualanamu ,Lion Air will soon fly the Kualanamu Penang Kualanamu International Route,lion air terbang rute internasional kualanamu nang kualanamu,0.4,Positive,0.0,Neutral,0.0,0.0,1.0,0.0
22, agungconqueror thok lion air masih enakan bus,AgungConqueror thinks Lion Air still has good buses,agungconqueror thok lion air enak bus,0.7,Positive,0.4404,Positive,0.293,0.0,0.707,0.4404
23,pengawasan lini cargo bandar udara mutiara sis jufri sore ini kedatangan lion air dri surabaya domestik masuk ikan hias air tawar ekor koli penerima ahmad palu kkpaccelerate bkipmtolitoli bkipm_kkp palupantoloan hamzahsila syafitrianto ,"Supervision of the cargo line at Mutiara Airport, Sis Jufri, this afternoon the arrival of Lion Air from Surabaya. Domestic entry of freshwater ornamental fish with collies. Recipient Ahmad Palu KKPAccelerate bkipmtolitoli bkipm_kkp PaluPantoloan HamzahSila Syafitrianto",awas lini cargo bandar udara mutiara sis jufri sore datang lion air dri surabaya domestik masuk ikan hias air tawar ekor koli terima ahmad palu kkpaccelerate bkipmtolitoli bkipm kkp palupantoloan hamzahsila syafitrianto,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
24, ardy_peterpan halo kak kami informasikan terkait perihal tsb silakan berkoordinasi langsung dgn pihak maskapai lion air lionairgroup kak tks diki,"Ardy Peterpan Hello sis, we will inform you regarding this matter, please coordinate directly with Lion Air airline lionairgroup, sis, thanks Diki",ardy pan halo kak informasi kait perihal tsb sila koordinasi langsung maskapai lion air lionairgroup kak tks dik,0.15000000000000002,Positive,0.6514,Positive,0.25,0.0,0.75,0.6514
25, fukusimax yang belum diketemukan pesawat lion air,Fukushima The Lion Air plane that has not been found,fukusimax ketemu pesawat lion air,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
26,baru tau kalo biaya kargo pesawat untuk mengangkut jenasah ternyata semahal itu tiga tahun lalu seorang teman meninggal semarang dan harus dipulangkan jayapura seingat saya biaya yang harus dikeluarkan juta untuk kargo pesawat lion air ,"Just found out that the cost of airplane cargo to transport bodies turns out to be that expensive. Three years ago a friend died in Semarang and had to be sent back to Jayapura. As far as I remember, it cost millions for Lion Air airplane cargo.",biaya kargo pesawat angkut jenasah mahal teman tinggal semarang pulang jayapura biaya keluar juta kargo pesawat lion air,-0.13333333333333333,Negative,-0.1027,Negative,0.062,0.069,0.869,-0.1027
27,pun banyak pengusaha sukses berawal dari sales kamu tahu pemilik lion air berawal karir dari sales tiket pesawat pemilik adira berawal dari sales astra dll sales itu pengalamannya berharga apalagi mahal adalah koneksinya ,"Many successful entrepreneurs started from sales. You know the owner of Lion Air. His career started from selling airplane tickets. The owner of Adira started from selling Astra, etc. Sales is a valuable experience, especially expensive, because of the connections.",usaha sukses sales milik lion air karir sales tiket pesawat milik adira sales astra dll sales alam harga mahal koneksi,0.08333333333333333,Positive,0.7845,Positive,0.154,0.0,0.846,0.7845
28,delay anjing kesel gaada info apa apa harusnya jam segini udah take off tapi ini boarding aja belom males banget kalo sama lion air pasti gini mbok seng jelas kalo delay kasih tau kek,"the delay, the dog is annoyed, there is no information about what it is, it should be taking off at this time, but it's just boarding not yet, I'm really lazy, if it's Lion Air, it's definitely like this, sis, it's clear that if it's delayed, let me know, bro.",delay anjing kesel gaada info jam gin udah take off boarding aja bom males banget lion air gin mbok seng delay kasih kek,-0.1375,Negative,0.2756,Positive,0.161,0.175,0.664,0.2756
29, ratutitik verraagustian_ twitkustik tapi ada saja musibah blm diketemukan spt musibah pesawat lion air dan kapal selam kri nenggala ,"Ratu Titik Verra Agustina Twitkustik But there have been accidents that have not been found, such as the Lion Air plane and KRI Nenggala submarine disaster",ratutitik verraagustian twitkustik musibah blm ketemu spt musibah pesawat lion air kapal selam kri nenggala,0.0,Neutral,-0.8625,Negative,0.0,0.264,0.736,-0.8625
30, ayoo nginap mudik tiket pesawat lion air klik ,"Come on, stay home and go home, Lion Air plane tickets CLICK",ayoo nginap mudik tiket pesawat lion air klik,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
31,lombok jakarta lion air jakarta solo gunung harta scania solo denpasar gunung harta mercy denpasar lombok titian mas ,Lombok Jakarta Lion Air Jakarta Solo Gunung Harta Scania Solo Denpasar Gunung Harta Mercy Denpasar Lombok Titian Mas,lombok jakarta lion air jakarta solo gunung harta scania solo denpasar gunung harta mercy denpasar lombok titi mas,0.0,Neutral,0.3612,Positive,0.128,0.0,0.872,0.3612
32,sumpah lion air gajelas banget anjingg babi,I swear Lion Air isn't really a pig dog,sumpah lion air gajelas banget anjingg babi,0.2,Positive,-0.0516,Negative,0.0,0.13,0.87,-0.0516
33,gonna first and last time naik lion air delay cok tiket kereta hangus dah enak pesawatnya anjir banget naik taksi dari kulonprogo jogja kota ,Gonna FIRST and LAST time to take Lion Air Delay but the train ticket is forfeited The plane is really nice to take a taxi from Kulonprogo Jogja city,gon na first and last time lion air delay cok tiket kereta hangus dah enak pesawat banget taksi kulonprogo jogja kota,0.2833333333333333,Positive,0.5407,Positive,0.126,0.05,0.823,0.5407
34,habis tokped terbitlah lion air ,"After Tokopedia, Lion Air appeared",habis tokped terbit lion air,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
35,work yang lolos performance test lion air group untuk pramugara lion air tower gajah mada harmoni jakarta pusat kuy ngumpul sebelum test dua,work Those who passed the Lion Air Group performance test for flight attendants at Lion Air Tower Gajah Mada Harmoni Central Jakarta Kuy gathered before the second test,work lolos performance test lion air group pramugara lion air tower gajah mada harmoni jakarta pusat kuy ngumpul test,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
36,lion air emang ngecewain bgtt tai,Lion Air is really disappointing,lion air emang ngecewain bgtt tai,-0.6,Negative,-0.5413,Negative,0.0,0.466,0.534,-0.5413
37,kmpus magang lion air kui cah kmps mlh phm car free day sebln skali marairsk acara orng krja bress ,lion air internship campus kui cah kmps slh phm car free day before skali marairsk event for working people bress,kmpus magang lion air kui cah kmps mlh phm car free day sebln skali marairsk acara orng krja bress,0.4,Positive,0.5106,Positive,0.148,0.0,0.852,0.5106
38,naik ana bisa ketemu kak hii kalo naek lion air bisa ketemu kak jihyo ,"If you go up, can you meet Sis Hi? If you take Lion Air, you can meet Sis Jihyo",ana ketemu kak hii naek lion air ketemu kak jihyo,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
39,mau heran tapi ini lion air,Want to be surprised but this is Lion Air,heran lion air,0.1,Positive,0.1531,Positive,0.271,0.0,0.729,0.1531
40,jam segini lion air masih ngemail nanyain pengurusan refund padahal dah pasrah makanya bales lagi bismillah semoga masih rejeki gak lagi lagi ketinggalan pesawat telat menit damagenya seminggu ,"At this hour, Lion Air is still emailing asking about refund arrangements even though they have given up, so reply again Bismillah, I hope you still have good luck. No more missed flights. One minute late, the damage is a week.",jam gin lion air ngemail nanyain urus refund dah pasrah bales bismillah moga rejeki tinggal pesawat telat menit damagenya minggu,0.04999999999999999,Neutral,0.6789,Positive,0.214,0.105,0.681,0.6789
41, entahlahbin hi_imaa zqhr mcas boeing max developernya orang sana emang tapi bisa dibilang errornya karena pilot tidak mematikan mcas cuma sistem ini butuh trial and error yang harusnya emang boleh langsung apply semua produksi itu buyer terbanyak itu lion air ,"I don't know Bin hi_imaa zqhr MCAS Boeing Max The developer is someone there, but you could say the error was because the pilot didn't turn off MCAS. It's just that this system requires trial and error which should be able to apply immediately to all production. The biggest buyer is Lion Air.",entahlahbin hi imaa zqhr mcas boeing max developer orang emang bilang errornya pilot mati mcas sistem butuh trial and error emang langsung apply produksi buyer lion air,0.5,Positive,-0.7964,Negative,0.0,0.122,0.878,-0.7964
42,video voi hari ini persaingan dengan lion air dirut garuda indonesia tegaskan cari keuntungan ,VIDEO VOI Today Competition with Lion Air Garuda Indonesia CEO Emphasizes Seeking Profits,video voi saing lion air dirut garuda indonesia tegas cari untung,0.0,Neutral,0.4404,Positive,0.195,0.0,0.805,0.4404
43,bingung baca berita soal batik air jadi ada batik air atau gimana cmiiw batik air indonesia kode btk batik air malaysia kode mxd perubahan dari malindo air dua nya punya lion air group ,Confused about reading the news about Batik Air So there is Batik Air or what cmiiw Batik Air Indonesia code BTK Batik Air Malaysia code MXD change from Malindo Air Both belong to Lion Air Group,bingung baca berita batik air batik air gimana cmiiw batik air indonesia kode btk batik air malaysia kode mxd ubah malindo air lion air group,-0.4,Negative,-0.3182,Negative,0.0,0.062,0.938,-0.3182
44,informasi jadwal penerbangan tiket promo lion air ,Lion Air Promo Ticket Flight Schedule Information,informasi jadwal terbang tiket promo lion air,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
45,lion air segera terbang rute internasional kualanamu penang kualanamu lion air segera membuka segera terbang rute internasional kualanamu penang kualanamu mulai juni mendatang ,Lion Air Will Soon Fly International Route KUALANAMU PENANG KUALANAMU Lion Air will soon open Soon Fly International Route KUALANAMU PENANG KUALANAMU starting next June,lion air terbang rute internasional kualanamu nang kualanamu lion air buka terbang rute internasional kualanamu nang kualanamu juni,0.2285714285714286,Positive,0.0,Neutral,0.0,0.0,1.0,0.0
46, jalanjalanbandung jalanjalanbogor jalanjalanindonesia tiket pesawat murah online lion air klik ,road road bandung road road bogor road road indonesia cheap airline tickets online lion air CLICK,jalanjalanbandung jalanjalanbogor jalanjalanindonesia tiket pesawat murah online lion air klik,0.4,Positive,0.0,Neutral,0.0,0.0,1.0,0.0
47,danang menambahkan bahwa pihak batik air sebagai member dari lion air group menawarkan harga terbaik sekali jalan dari bali melbourne dan melbourne bali ,Danang added that Batik Air as a member of the Lion Air Group offers the best one-way prices from Bali to Melbourne and Melbourne to Bali,danang batik air member lion air group tawar harga baik jalan bal melbourne melbourne bal,0.55,Positive,0.6369,Positive,0.144,0.0,0.856,0.6369
48, lion malaysia sumut lion air group akan membuka kembali rute penerbangan penumpang berjadwal internasional tanpa henti non stop dari bandara internasional kualanamu sumatera utara bandara internasional pulau pinang lewat serambinews,"Lion Malaysia North Sumatra Lion Air Group will reopen non-stop international scheduled passenger flight routes from Kualanamu International Airport, North Sumatra, Pulau Pinang International Airport via serambinews",lion malaysia sumut lion air group buka rute terbang tumpang jadwal internasional henti non stop bandara internasional kualanamu sumatera utara bandara internasional pulau pinang serambinews,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
49, lion malaysia sumut lion air group akan membuka kembali rute penerbangan penumpang berjadwal internasional tanpa henti non stop dari bandara internasional kualanamu sumatera utara bandara internasional pulau pinang lewat serambinews,"Lion Malaysia North Sumatra Lion Air Group will reopen non-stop international scheduled passenger flight routes from Kualanamu International Airport, North Sumatra, Pulau Pinang International Airport via serambinews",lion malaysia sumut lion air group buka rute terbang tumpang jadwal internasional henti non stop bandara internasional kualanamu sumatera utara bandara internasional pulau pinang serambinews,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
50, ayotraveling ayodolanjogja ayokemaluku tiket pesawat murah lion air jakarta medan klik ,"let's travel, let's play Jogja, let's go to Maluku, cheap airline tickets for Lion Air Jakarta, Medan, CLICK",ayotraveling ayodolanjogja ayokemaluku tiket pesawat murah lion air jakarta medan klik,0.4,Positive,0.34,Positive,0.124,0.0,0.876,0.34
51,lion air buka lagi rute medan penang mulai juni ,Lion Air Reopens Medan Penang Route Starting June,lion air buka rute medan nang juni,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
52, ayokeaceh ayoo ayopiknik tiket pesawat murah lion air klik ,"Come on, Aceh, come on, come on, picnic. Cheap Lion Air plane tickets CLICK",ayokeaceh ayoo ayopiknik tiket pesawat murah lion air klik,0.4,Positive,0.0,Neutral,0.0,0.0,1.0,0.0
53, ayokejogja ayoo ayomain tiket pesawat murah lion air jakarta manado klik ,"Come on, Jogja, come on, come on, cheap airline tickets, Lion Air, Jakarta, Manado, CLICK",ayokejogja ayoo ayomain tiket pesawat murah lion air jakarta manado klik,0.4,Positive,0.0,Neutral,0.0,0.0,1.0,0.0
54, yukjalan ayo ayodolan tiket pesawat murah lion air bali klik ,"Come on, let's go, let's play cheap Lion Air Bali flight tickets CLICK",yukjalan ayo ayodolan tiket pesawat murah lion air bal klik,0.4,Positive,0.34,Positive,0.167,0.0,0.833,0.34
55, jelliworms coba deh cari tau dulu tentang lion air sebelum itu terjadi sama kamu,jelliworms Try to find out about Lion Air first before it happens to you,jelliworms coba deh cari lion air,0.25,Positive,0.0,Neutral,0.0,0.0,1.0,0.0
56, tinasarah jelliworms baik kak untuk ketentuan garuda kami kurang mengetahui karena saat ini kakak terhubung support lion air group terima kasih ,"Tinasarah jelliworms OK, bro, we don't know about Garuda's provisions because currently you are connected to Lion Air Group support. Thank you",tinasarah jelliworms kak tentu garuda kakak hubung support lion air group terima kasih,0.25,Positive,0.6369,Positive,0.206,0.0,0.794,0.6369
57, jelliworms garuda aja klo lion air cukup tau aja,"GARUDA jelliworms, Lion Air just knows",jelliworms garuda aja lion air aja,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
58, ags lion air mah udhh biasa cuma sakit hati selalu mereka lakukan,"aug Lion Air is already used to it, but it always hurts them to do it",ags lion air mah udhh sakit hati laku,0.0,Neutral,-0.631,Negative,0.0,0.217,0.783,-0.631
59, dolankaranganyar dolansleman dolanmagelang tiket pesawat murah lion air jakarta padang klik ,Dolan Karanganyar Dolan Sleman Dolan Magelang Cheap Lion Air Flight Tickets Jakarta Padang CLICK,dolankaranganyar dolansleman dolanmagelang tiket pesawat murah lion air jakarta padang klik,0.4,Positive,0.0,Neutral,0.0,0.0,1.0,0.0
60,lion air akan melayani rute kualanamu penang mulai juni catat syarat terbang malaysia ,"Lion Air will serve the Kualanamu Penang route starting June, taking into account Malaysia's flying requirements",lion air layan rute kualanamu nang juni catat syarat terbang malaysia,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
61,lion air buka rute kualanamu penang mulai juni cek syarat terbang ,Lion Air Opens Kualanamu Penang Route Starting June Check Flying Conditions,lion air buka rute kualanamu nang juni cek syarat terbang,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
62, dolansemarang dolanterus dolanpurwodadi tiket pesawat murah lion air klik ,Dolan Semarang Dolan continues Dolan Purwodadi Cheap Lion Air flight tickets CLICK,dolansemarang dolanterus dolanpurwodadi tiket pesawat murah lion air klik,0.4,Positive,0.0,Neutral,0.0,0.0,1.0,0.0
63, dolanklaten dolanboyolali dolanbareng tiket pesawat lion air murah bali klik ,dolan klaten dolan boyolali dolan together cheap Lion Air flight tickets to Bali CLICK,dolanklaten dolanboyolali dolanbareng tiket pesawat lion air murah bal klik,0.4,Positive,0.0,Neutral,0.0,0.0,1.0,0.0
64,emosi aku sama lion air dia ngasih info kek orang ngerapp aku minta pelan pelan maaf sebelumnya boleh diinfokan kembali terkait pembelian bagasi penumpang karena disini suara ibu sangat kecil dan terlalu cepat kau tau dia jawab apa suara ibu putus putus ,"My emotions are with Lion Air, he gave me information like people are rapping. I asked him to slow down. Sorry, can you give me more information regarding purchasing passenger baggage? Because here my mother's voice is very small and too fast. YOU KNOW HE ANSWERED WHAT, my mother's voice broke.",emosi lion air ngasih info kek orang ngerapp pelan pelan maaf info kait beli bagasi tumpang suara cepat kau suara putus putus,-0.09675925925925928,Negative,-0.1531,Negative,0.046,0.075,0.879,-0.1531
65,mulai juni lion air terbang dari medan penang perjalanan bersama kami akan dilengkapi fasilitas gratis bagasi dan inflight entertainment melalui aplikasi tripper segera rencanakan perjalanan anda dan pesan tiketnya ,"Starting June, Lion Air will fly from Medan, Penang. Traveling with us will be equipped with free baggage facilities and in-flight entertainment via the Tripper application. Plan your trip immediately and book tickets.",juni lion air terbang medan nang jalan lengkap fasilitas gratis bagasi inflight entertainment aplikasi tripper rencana jalan pesan tiket,0.4000000000000001,Positive,0.7269,Positive,0.164,0.0,0.836,0.7269
66, ianrahardian gue pernah delay jam bulan lalu bgt sekarang gue akan mikir berkali kali sebelum beli tiket lion air ,ianrahardian I was delayed a lot last month so now I will think twice before buying a Lion Air ticket,ianrahardian gue delay jam bgt gue mikir kali kali beli tiket lion air,0.0,Neutral,-0.2263,Negative,0.0,0.091,0.909,-0.2263
67,istri sah pilot lion air bongkar kecurigaan saat suaminya terbang bareng pramugari selingkuhan berturut turut pilotlionairdigrebek istrisahpilot pramugariselingkuhan perselingkuhanpilot lionairid lionairgroup klik ,The Legal Wife of a Lion Air Pilot Reveals Suspicions when Her Husband Flew with a Stewardess Having an Affair,istri sah pilot lion air bongkar curiga suami terbang bareng pramugari selingkuh pilotlionairdigrebek istrisahpilot pramugariselingkuhan perselingkuhanpilot lionairid lionairgroup klik,0.2,Positive,-0.25,Negative,0.068,0.114,0.818,-0.25
68,lion air buka kembali rute kualanamu penang cek jadwal dan syaratnya ,Lion Air Reopens Kualanamu Penang Route Check Schedule and Conditions,lion air buka rute kualanamu nang cek jadwal syarat,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
69,lion air terbangi rute internasional lagi kualanamu penang ,"Lion Air flies international routes again to Kualanamu, Penang",lion air bang rute internasional kualanamu nang,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
70,lion air terbangi rute internasional lagi kualanamu penang ,"Lion Air flies international routes again to Kualanamu, Penang",lion air bang rute internasional kualanamu nang,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
71,lion air dengan rute penerbangan ini akan memiliki jadwal kali sehari atau kali penerbangan selama seminggu penuh kumparantravel ,"Lion Air with this flight route will have a schedule of times a day or flight times for a whole week, KumparanTRAVEL",lion air rute terbang milik jadwal kali hari kali terbang minggu penuh kumparantravel,0.2,Positive,0.0,Neutral,0.0,0.0,1.0,0.0
72,pengawasan lini cargo bandar udara mutiara sis jufri kedatangan lion air dari makassar kkpaccelerate bkipm_kkp hamzahsila syafitrianto bkipmtolitoli palupantoloan ,"Supervision of cargo lines at Mutiara Airport, Sis Jufri, arrival of Lion Air from Makassar KKPAccelerate bkipm_kkp HamzahSila Syafitrianto bkipmtolitoli PaluPantoloan",awas lini cargo bandar udara mutiara sis jufri datang lion air makassar kkpaccelerate bkipm kkp hamzahsila syafitrianto bkipmtolitoli palupantoloan,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
73,apa pendapat sahabat lumbung tentang singa berponi mullet ini lumbungin aplikasicerdaspetaniberkelas singa lion guangzhou lionair mullethaircut lionmullet satwa viral fauna,What do Lumbung friends think about this lion with mullet bangs Lumbungin intelligent applicationfarmerclassy lion guangzhou lionair mullethaircut lionmullet animal viral fauna,dapat sahabat lumbung singa pon mullet lumbungin aplikasicerdaspetaniberkelas singa lion guangzhou lionair mullethaircut lionmullet satwa viral fauna,0.8,Positive,0.7269,Positive,0.234,0.0,0.766,0.7269
74, santiicuitcuit pake lion air terakhir cek per flight kalo pesawat lain lbh mahal keliatannya,"santiicuitcuit use Lion Air, lastly check per flight if other planes seem more expensive",santiicuitcuit pake lion air cek flight pesawat lbh mahal liat,-0.03125,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
75,cape bgt anjir lion air bbik,CAPE BGT DOG LION WATER BBIK,cape bgt lion air bbik,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
76,landasan pacu bandara mopah merauke dipalang lion air gagal mendarat dan putar balik jayapura ,Mopah Merauke Dipalang Lion Air Airport Runway Failed to Land and Turned Back to Jayapura,landas pacu bandara mopah merauke palang lion air gagal darat putar jayapura,-0.25,Negative,-0.5106,Negative,0.0,0.191,0.809,-0.5106
77, pikniks piknikhore piknikjogjakarta cek harga tiket pesawat murah lion air klik ,picnic picnic hooray picnic Yogyakarta check cheap Lion Air plane ticket prices CLICK,pikniks piknikhore piknikjogjakarta cek harga tiket pesawat murah lion air klik,0.4,Positive,0.5106,Positive,0.216,0.0,0.784,0.5106
78, deemound marvfess bukannya lion air ,deemound Marvfess Instead of Lion Air,deemound marvfess lion air,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
